TERM,CARD,TXNDATETIME_RQ,TXNDATETIME_RP,TRANSCODE,TRIM(MSGTYPE),TRIM(SYS_TRACE_NO),TRIM(AUTHID),TRIM(RRNO),TRIM(ACQ_FIID),TRIM(ISS_FIID),AMT,FROMACCT,TOACCT,RSP,R,TT,POS,TRIM(SRC_AGENT_TYPE),TRIM(LOCALDATA)
ATM2.1,4834460100000082,19/12/2017 11:14:01,19/12/2017 11:14:02,010000,0200,009960,009960,735311000964,VISA,GSBP,495.54,020000086684,,00,N,ATM,0510,B24,100000|1219:1219|VISA:1001|GSBP:30|    |00  |000964|00:00:0510:000:250|100.0|0.0||0000000:0000000000000000000000000000000000
ATM2.2,4834460100000082,19/12/2017 11:14:06,19/12/2017 11:14:07,011000,0200,009961,009961,735311000965,VISA,GSBP,991.08,020000086684,,00,N,ATM,0510,B24,101100|1219:1219|VISA:1001|GSBP:30|    |00  |000965|00:00:0510:000:250|100.0|0.0||0000000:0000000000000000000000000000000000
ATM2.4,4834460100000082,19/12/2017 11:14:17,19/12/2017 11:14:17,011000,0200,009962,009962,735311000967,VISA,GSBP,1982.16,020000086684,,00,N,ATM,0510,B24,101100|1219:1219|VISA:1001|GSBP:30|    |00  |000967|00:00:0510:000:250|100.0|0.0||0000000:0000000000000000000000000000000000
ATM2.11,4834460100000082,19/12/2017 11:14:22,19/12/2017 11:14:22,010000,0200,009963,009963,735311000968,VISA,GSBP,4212.09,020000086684,,55,N,ATM,0510,B24,100000|1219:1219|VISA:1001|GSBP:30|    |00  |000968|00:00:0510:000:250|0|0||0000000:0000000000000000000000000000000000
ATM2.14,4834460100000082,19/12/2017 11:14:27,19/12/2017 11:14:28,010000,0200,009964,009964,735311000969,VISA,GSBP,5698.70,020000086684,,00,N,ATM,0510,B24,100000|1219:1219|VISA:1001|GSBP:30|    |00  |000969|00:00:0510:000:250|100.0|0.0||0000000:0000000000000000000000000000000000
ATM2.15,4834460100000082,19/12/2017 11:14:33,19/12/2017 11:14:33,010000,0200,009965,009965,735311000970,VISA,GSBP,5698.70,020000086684,,82,N,ATM,0510,B24,100000|1219:1219|VISA:1001|GSBP:30|    |00  |000970|00:00:0510:000:250|0|0||0000000:0000000000000000000000000000000000
ATM2.16,4834460100000082,19/12/2017 11:14:38,19/12/2017 11:14:38,010000,0200,009966,009966,735311000971,VISA,GSBP,5450.93,020000086684,,05,N,ATM,0510,B24,100000|1219:1219|VISA:1001|GSBP:30|    |00  |000971|00:00:0510:000:250|0|0||0000000:0000000000000000000000000000000000
ATM2.17,4834460100000082,19/12/2017 11:14:43,19/12/2017 11:14:43,010000,0200,009967,009967,735311000972,VISA,GSBP,5450.93,020000086684,,05,N,ATM,0510,B24,100000|1219:1219|VISA:1001|GSBP:30|    |00  |000972|00:00:0510:000:250|0|0||0000000:0000000000000000000000000000000000
ATM3.1,4834460100000082,19/12/2017 11:14:48,19/12/2017 11:14:49,011000,0200,009968,009968,735311000973,VISA,GSBP,6194.25,020000086684,,44,N,ATM,8010,B24,101100|1219:1219|VISA:1001|GSBP:30|    |00  |000973|00:00:0210:000:250|0|0||0000000:0000000000000000000000000000000000
ATM4.2,4834460100000082,19/12/2017 11:14:59,19/12/2017 11:14:59,311000,0200,009969,009969,735311000975,VISA,GSBP,0.00,020000086684,,00,N,ATM,0510,B24,301100|1219:1219|VISA:1001|GSBP:30|    |00  |000975|00:00:0510:000:250|15.0|0.0
ATM4.3,4834460100000082,19/12/2017 11:15:04,19/12/2017 11:15:04,312000,0200,009970,009970,735311000976,VISA,GSBP,0.00,000000022103,,05,N,ATM,0510,B24,300100|1219:1219|VISA:1001|GSBP:30|    |00  |000976|00:00:0510:000:250|0|0
ATM4.9,4834460100000082,19/12/2017 11:15:15,19/12/2017 11:15:15,311000,0200,009971,009971,735311000978,VISA,GSBP,0.00,020000086684,,55,N,ATM,0510,B24,301100|1219:1219|VISA:1001|GSBP:30|    |00  |000978|00:00:0510:000:250|0|0
ATM7.1,4834460100000082,19/12/2017 11:15:20,19/12/2017 11:15:20,010000,0200,009972,009972,735311000979,VISA,GSBP,1238.85,020000086684,,00,Y,ATM,0510,B24,100000|1219:1219|VISA:1001|GSBP:30|    |00  |000979|00:00:0510:000:250|100.0|0.0||0000000:0000000000000000000000000000000000
ATM7.1,4834460100000082,19/12/2017 11:15:30,19/12/2017 11:15:31,010000,0200,009973,009973,735311000981,VISA,GSBP,1238.85,020000086684,,00,Y,ATM,0510,B24,100000|1219:1219|VISA:1001|GSBP:30|    |00  |000981|00:00:0510:000:250|100.0|0.0||0000000:0000000000000000000000000000000000
POS2.1,4834460100000082,19/12/2017 11:15:35,19/12/2017 11:15:36,001000,0200,009974,009974,121904000982,VISP,GSBP,247.77,020000086684,,00,N,POS,0520,B24,10211|1219:0|VISP:1001|GSBP:30|0|0|0|0:00:0520:001:050|singapore|04000982
POS2.2,4834460100000082,19/12/2017 11:15:41,19/12/2017 11:15:41,001000,0200,009975,009975,121904000983,VISP,GSBP,297.32,020000086684,,00,N,POS,0520,B24,10211|1219:0|VISP:1001|GSBP:30|0|0|0|0:00:0520:001:050|singapore|04000983
POS2.8,4834460100000082,19/12/2017 11:15:56,19/12/2017 11:15:57,001000,0200,009976,009976,121904000986,VISP,GSBP,445.98,020000086684,,00,N,POS,0510,B24,10211|1219:0|VISP:1001|GSBP:30|0|0|0|0:00:0510:001:050|singapore|04000986
POS2.18,4834460100000082,19/12/2017 11:16:02,19/12/2017 11:16:02,001000,0200,009977,009977,121904000987,VISP,GSBP,693.75,020000086684,,55,N,POS,0510,B24,10211|1219:0|VISP:1001|GSBP:30|0|0|0|0:00:0510:001:050|singapore|04000987
POS2.19,4834460100000082,19/12/2017 11:16:07,19/12/2017 11:16:07,001000,0200,009978,009978,121904000988,VISP,GSBP,247.77,020000086684,,00,N,POS,0520,B24,10211|1219:0|VISP:1001|GSBP:30|0|0|0|0:00:0520:001:050|singapore|04000988
POS2.20,4834460100000082,19/12/2017 11:16:12,19/12/2017 11:16:12,001000,0200,009979,009979,121904000989,VISP,GSBP,743.30,020000086684,,82,N,POS,0520,B24,10211|1219:0|VISP:1001|GSBP:30|0|0|0|0:00:0520:001:050|singapore|04000989
POS2.21,4834460100000082,19/12/2017 11:16:17,19/12/2017 11:16:18,001000,0200,009980,009980,121904000990,VISP,GSBP,768.09,020000086684,,05,N,POS,0520,B24,10211|1219:0|VISP:1001|GSBP:30|0|0|0|0:00:0520:001:050|singapore|04000990
